num_rooms,num_people,housearea,is_ac,is_tv,is_flat,ave_monthly_income,num_children,is_urban,amount_paid
3,3,742.57,1,1,1,9675.93,2,0,70.0601808625
1,5,952.99,0,1,0,35064.79,1,1,79.160459825
3,1,761.44,1,1,1,22292.44,0,0,63.9848946
0,5,861.32,1,1,0,12139.08,0,0,41.6240044125
1,8,731.61,0,1,0,17230.1,2,1,82.285703125
0,5,837.24,0,1,1,24661.81,2,1,99.1552932
4,5,679.04,0,1,0,28184.43,1,1,71.2978556375
3,4,1044.65,0,0,1,16912.69,2,1,73.1756499625
2,4,713.9,1,0,0,26058.28,0,1,81.6501085625
1,6,734.43,0,0,0,22545.5,2,1,75.75189225
2,6,742.69,0,1,0,15670.76,0,0,27.8418177
1,6,924.04,1,1,0,22527.33,0,1,75.7729970375
0,3,776.62,0,1,0,32341.3,0,1,66.034805925
2,4,990.59,0,1,1,13084.35,0,1,77.797739675
2,7,870.61,0,1,0,31430.75,1,1,94.5814619875
1,5,747.02,0,1,0,28595.98,0,1,58.8910545875
3,5,699.01,0,0,1,44997.0,3,0,57.355359925
2,8,932.84,1,1,0,30009.93,1,1,102.2658580875
4,4,573.69,0,1,0,32902.39,1,0,44.429291825
3,1,901.33,0,1,1,27090.16,2,1,88.4957533875
1,6,902.07,1,1,0,11306.32,1,0,72.94291555
3,4,686.59,0,1,1,36352.99,1,1,72.457314725
1,4,860.28,0,0,0,7792.07,0,1,66.2104239875
1,7,859.83,0,1,1,42003.43,1,1,95.4888914625
2,6,773.65,0,1,0,30764.16,2,1,86.8796085875
2,7,808.93,0,1,1,26083.57,1,1,75.70097275
3,2,890.69,1,1,1,17349.88,4,1,124.3320721875
1,1,765.32,0,1,1,8315.34,0,1,66.9626348125
1,2,657.97,1,1,0,28148.91,1,1,88.9181716625
2,7,816.77,0,1,1,16817.74,1,1,87.9261850625
3,5,988.62,0,1,0,30021.55,3,1,91.4018974875
1,4,733.55,0,1,1,14935.76,2,1,93.262470025
3,6,682.75,0,1,1,14898.26,1,1,75.175251775
0,9,1009.31,1,1,0,26697.92,2,0,89.446730775
2,7,764.79,1,1,1,26101.9,0,1,97.767565125
2,6,643.52,0,1,0,5829.41,1,1,66.795531875
2,5,554.38,0,0,1,28399.11,0,0,39.0718261
3,5,823.05,0,1,0,32656.32,0,1,76.485143625
1,4,640.25,0,1,0,20463.3,0,1,69.0434845
4,5,689.76,1,0,0,26291.15,0,0,43.700341025
2,5,813.69,0,1,1,23541.2,1,1,76.574678375
1,3,821.69,1,1,0,16745.65,1,1,92.1413552125
3,3,664.68,1,0,1,32740.89,2,1,109.2083165125
2,3,1054.58,1,1,1,21255.23,0,1,87.0402943375
2,0,1042.81,0,0,1,39314.16,0,0,29.8625238625
3,5,929.46,0,1,1,16106.32,1,1,74.0108417125
1,4,673.08,1,0,1,14214.36,2,0,82.2590938125
1,5,713.62,0,1,1,36298.72,1,1,86.773130525
2,5,704.72,1,1,1,31749.91,2,1,115.7773440375
1,4,794.74,0,0,0,6364.43,1,1,77.8611361375
2,4,829.78,1,1,1,19835.2,2,1,126.36725725
1,4,953.19,1,1,1,39489.23,1,1,101.951698375
1,5,585.55,0,0,1,20797.91,3,0,70.6502694875
5,6,633.97,1,0,1,28202.39,0,0,55.9412465
3,5,820.54,0,1,0,22586.51,0,1,72.47645475
3,3,750.39,0,1,0,18681.58,3,0,70.606397675
2,2,672.37,1,1,1,19403.1,1,1,100.4202193
2,4,685.43,0,1,0,34816.79,0,1,56.74358695
3,2,662.29,0,1,0,36722.54,2,0,53.5015210625
1,6,725.53,0,1,0,25109.88,3,0,69.9678448375
1,0,878.69,0,1,1,15569.46,2,1,102.705523975
3,7,898.5,1,1,0,36884.89,2,1,122.1024064875
3,7,893.27,0,1,0,16860.46,1,1,86.5534137125
3,7,533.3,0,1,1,27626.36,0,1,82.1742300125
1,8,518.49,1,1,0,30763.52,0,1,84.5148852
3,7,794.89,1,1,0,35189.49,2,0,83.85242395
2,8,711.53,0,0,0,37215.47,1,0,38.447813875
2,6,1010.55,0,1,0,27689.47,1,0,55.0707110125
4,4,845.12,0,1,0,12264.5,1,1,70.581944
1,7,714.65,1,1,0,24488.96,1,0,70.9095846375
1,5,704.64,0,1,1,31282.86,0,1,78.306331675
2,2,690.69,0,1,1,14905.48,0,1,83.1134173625
1,2,704.75,0,1,1,46993.0,0,0,48.8248285
2,4,873.04,1,1,0,22599.47,1,0,65.6957573
1,4,862.83,0,1,1,14622.24,2,1,81.874617225
4,6,534.35,0,1,1,45379.66,0,1,79.242158975
2,5,666.23,0,1,0,25393.47,1,0,41.10313075
3,8,780.66,1,0,1,28477.29,1,1,90.928504075
2,6,700.32,1,1,0,17418.74,2,1,100.8242125625
2,6,388.17,0,1,1,9736.98,1,1,86.33331805
3,6,637.24,1,1,1,35536.9,0,0,49.704388425
2,3,868.51,0,1,0,30102.18,0,1,77.518822975
2,5,956.49,1,1,1,30233.2,1,0,80.0908148125
3,8,613.67,0,1,0,21489.89,0,0,34.1995291125
2,5,556.77,0,1,1,33455.61,0,0,54.14767645
1,4,719.97,0,1,1,22954.06,0,1,69.1662103
1,4,722.55,1,0,1,49903.47,0,0,63.3648079
2,6,755.85,1,0,0,28414.45,2,1,95.2645221375
2,4,912.5,1,1,0,29492.59,0,0,68.4375191875
2,8,592.68,1,1,1,20542.24,1,1,97.5528773375
-1,5,697.17,0,1,1,17804.39,2,1,102.189359675
2,4,631.85,1,1,0,29206.67,0,0,55.7154355875
3,7,627.3,0,1,0,32568.9,0,1,61.1172885625
2,5,686.0,0,1,0,12090.35,2,1,95.3432203
4,2,755.81,1,1,0,34541.06,2,0,87.78229595
3,2,875.98,0,1,0,24849.38,2,0,66.8264704375
1,5,729.06,1,1,0,22456.58,1,1,106.0113466125
2,3,698.35,0,0,0,37442.86,2,0,37.811400925
2,5,621.6,1,1,0,27571.38,1,0,52.6448944375
3,9,1123.53,0,1,1,33964.42,0,1,69.996121125
3,5,486.17,0,1,0,18879.68,0,0,24.8144325375
3,10,810.5,0,1,1,39304.91,1,1,101.9211755625
2,6,750.76,1,1,0,26952.99,2,1,98.6989325125
2,4,1000.26,1,1,1,18076.23,0,0,53.11455795
0,8,758.0,1,1,0,24767.0,0,0,54.96601105
2,3,700.37,0,1,1,14199.3,3,1,104.5861724125
3,5,674.38,0,1,0,14925.92,0,1,61.4025276125
2,4,1021.58,0,1,1,36811.24,2,0,53.13469555
3,4,773.05,0,1,0,20515.14,0,1,56.4215294
2,8,969.13,1,1,0,10539.88,1,0,54.950169825
1,7,580.33,0,1,0,30949.12,1,0,59.0002127875
1,4,751.24,0,1,1,24104.97,2,1,104.399691925
1,9,835.06,0,1,1,27876.39,2,1,94.4422229875
1,2,984.48,1,1,1,29999.75,2,1,105.0338711875
1,6,900.96,0,1,0,12476.47,1,1,81.706872725
2,4,701.95,0,1,1,31473.06,2,1,103.535098275
1,6,719.2,0,1,0,31574.87,1,1,67.7318489
